player_id,player_name,Cluster,Player_Label,Player_Score,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,AVG_MIN
1631095,Jabari Smith Jr.,0,Role-Player,-0.06656271396968956,76,76,2424.0,5.6,12.4,0.454,2.0,5.6,0.363,2.2,2.7,0.811,2.1,7.1,9.1,1.8,0.8,0.9,1.3,3.0,15.5,31.894736842105264
201572,Brook Lopez,0,Role-Player,-0.07226051485739665,79,79,2411.0,5.5,11.3,0.485,2.2,6.0,0.366,1.6,2.0,0.821,1.7,4.4,6.1,1.9,0.6,2.8,1.2,2.9,14.8,30.518987341772153
1630175,Cole Anthony,0,Role-Player,-0.07692351970848275,81,0,1817.0,6.6,15.1,0.435,1.8,5.4,0.338,3.6,4.3,0.826,1.3,4.9,6.2,4.7,1.3,0.7,2.5,3.5,18.6,22.432098765432098
203991,Clint Capela,0,Role-Player,-0.07823642719663322,73,73,1883.0,6.7,11.8,0.571,0.0,0.0,0.0,2.5,3.9,0.631,6.4,8.4,14.8,1.7,0.8,2.0,1.4,3.1,16.0,25.794520547945204
1629632,Coby White,0,Role-Player,-0.08563974939456875,79,78,2881.0,6.8,15.1,0.447,2.6,6.9,0.376,2.7,3.2,0.838,0.5,3.9,4.5,5.1,0.7,0.2,2.1,2.3,18.9,36.46835443037975
1627747,Caris LeVert,0,Role-Player,-0.08588577930698679,68,10,1958.0,6.3,15.1,0.421,2.0,6.1,0.325,2.8,3.7,0.766,0.7,4.4,5.1,6.4,1.4,0.6,2.2,2.2,17.5,28.794117647058822
201950,Jrue Holiday,0,Role-Player,-0.08946560078780515,69,69,2263.0,5.3,11.0,0.48,2.2,5.1,0.429,1.0,1.1,0.833,1.3,4.6,5.9,5.3,1.0,0.8,2.0,1.7,13.7,32.79710144927536
1630591,Jalen Suggs,0,Role-Player,-0.09576101864687614,75,75,2025.0,6.0,12.7,0.471,2.7,6.8,0.397,2.1,2.8,0.756,0.9,3.2,4.1,3.6,1.9,0.8,2.3,3.6,16.8,27.0
1641706,Brandon Miller,0,Role-Player,-0.10702448909205518,74,68,2383.0,7.2,16.4,0.44,2.8,7.4,0.373,2.2,2.6,0.827,0.9,3.9,4.8,2.6,1.0,0.6,2.0,2.8,19.3,32.2027027027027
1629673,Jordan Poole,0,Role-Player,-0.10973771802412062,78,66,2346.0,7.5,18.2,0.413,2.8,8.7,0.326,2.9,3.4,0.877,0.5,2.8,3.3,5.3,1.3,0.4,2.9,3.7,20.8,30.076923076923077
1629018,Gary Trent Jr.,0,Role-Player,-0.11604920698714398,71,41,1994.0,6.5,15.3,0.426,3.2,8.2,0.393,1.3,1.7,0.771,0.5,2.9,3.4,2.1,1.4,0.2,0.8,1.7,17.6,28.08450704225352
1631099,Keegan Murray,0,Role-Player,-0.1187467369427564,77,77,2589.0,6.2,13.6,0.454,2.5,7.1,0.358,1.4,1.7,0.831,1.5,4.4,5.8,1.8,1.1,0.8,0.9,2.9,16.3,33.62337662337662
1627936,Alex Caruso,0,Role-Player,-0.12063157158427407,71,57,2040.0,4.5,9.5,0.468,2.4,5.9,0.408,1.3,1.7,0.76,1.1,3.7,4.8,4.4,2.1,1.2,1.8,3.2,12.6,28.732394366197184
1629651,Nic Claxton,0,Role-Player,-0.12379003011026618,71,71,2116.0,6.2,9.9,0.629,0.0,0.1,0.2,1.8,3.3,0.551,3.3,8.7,12.0,2.5,0.8,2.5,1.6,3.0,14.3,29.802816901408452
201566,Russell Westbrook,0,Role-Player,-0.12902973757210062,68,11,1529.0,7.1,15.6,0.454,1.0,3.6,0.273,2.6,3.8,0.688,2.2,5.9,8.1,7.2,1.7,0.5,3.4,2.8,17.8,22.485294117647058
1630557,Corey Kispert,0,Role-Player,-0.13843922522082866,80,22,2067.0,6.7,13.8,0.486,3.2,8.4,0.383,2.0,2.7,0.726,0.5,3.4,3.9,2.7,0.7,0.3,1.7,2.5,18.6,25.8375
1631323,Simone Fontecchio,0,Role-Player,-0.15200424559114878,66,43,1644.0,5.5,12.0,0.46,2.9,7.3,0.401,1.2,1.4,0.818,1.4,4.0,5.4,2.2,1.0,0.5,1.5,2.4,15.2,24.90909090909091
1629130,Duncan Robinson,0,Role-Player,-0.16170714227055402,68,36,1906.0,5.7,12.8,0.45,3.5,8.9,0.395,1.5,1.7,0.889,0.3,3.0,3.3,3.6,0.9,0.3,1.8,3.1,16.5,28.029411764705884
203932,Aaron Gordon,0,Role-Player,-0.16293584103578362,73,73,2297.0,6.2,11.2,0.556,0.6,2.2,0.29,2.8,4.2,0.658,2.7,4.7,7.4,4.1,0.9,0.7,1.6,2.2,15.9,31.465753424657535
1628380,Zach Collins,0,Role-Player,-0.17163034956612602,69,29,1526.0,7.0,14.5,0.484,1.4,4.3,0.32,2.9,3.8,0.753,2.8,5.9,8.7,4.6,0.8,1.2,3.1,4.9,18.3,22.115942028985508
1630200,Tre Jones,0,Role-Player,-0.17577956853048377,77,48,2138.0,5.1,10.1,0.505,1.1,3.2,0.335,1.7,2.0,0.856,1.0,3.9,4.9,8.0,1.3,0.2,2.0,1.5,13.0,27.766233766233768
1630174,Aaron Nesmith,0,Role-Player,-0.18822508018330228,72,47,1995.0,5.7,11.5,0.496,2.5,6.0,0.419,1.9,2.5,0.781,1.1,3.8,5.0,1.9,1.2,0.9,1.2,4.3,15.8,27.708333333333332
1626162,Kelly Oubre Jr.,0,Role-Player,-0.19308307647368456,68,52,2055.0,6.8,15.4,0.441,1.8,5.7,0.311,3.0,4.1,0.75,1.6,4.3,6.0,1.8,1.3,0.8,1.5,3.4,18.4,30.220588235294116
1630529,Herbert Jones,0,Role-Player,-0.19759225816016818,76,76,2321.0,4.5,9.1,0.498,1.8,4.2,0.418,2.1,2.5,0.867,1.1,3.1,4.2,3.1,1.6,1.0,1.4,3.5,13.0,30.539473684210527
1627826,Ivica Zubac,0,Role-Player,-0.2193123278105008,68,68,1795.0,6.8,10.4,0.649,0.0,0.0,0.0,2.4,3.3,0.723,3.9,8.6,12.6,1.9,0.4,1.7,1.6,3.6,15.9,26.397058823529413
203952,Andrew Wiggins,0,Role-Player,-0.2357842265395942,71,59,1920.0,6.6,14.6,0.453,1.7,4.8,0.358,2.7,3.5,0.751,2.0,4.0,6.0,2.2,0.8,0.8,1.6,2.8,17.6,27.04225352112676
